seed,cohort,evaluator,method,client,score
4103,A,equal_subject,shapley,8,0.006868571822595973
4103,A,equal_subject,leave_one_out,3,0.0020996571780880213
4103,A,equal_subject,leave_one_out,5,-0.0008002966569689018
4103,A,equal_subject,leave_one_out,6,0.00031272413832339474
4103,A,equal_subject,leave_one_out,8,2.358472650176857e-06
4103,A,equal_subject,data_size,3,0.27301841473178545
4103,A,equal_subject,data_size,5,0.24179343474779824
4103,A,equal_subject,data_size,6,0.2602081665332266
4103,A,equal_subject,data_size,8,0.22497998398718974
4103,B,sample_frequency,shapley,11,0.014165886344359967
4103,B,sample_frequency,shapley,14,-0.0030884410972823644
4103,B,sample_frequency,shapley,16,0.0006611155001280589
4103,B,sample_frequency,shapley,17,0.015830256855808002
4103,B,sample_frequency,leave_one_out,11,0.0037199253777888686
4103,B,sample_frequency,leave_one_out,14,-0.0030101172003728083
4103,B,sample_frequency,leave_one_out,16,-0.004118271067335866
4103,B,sample_frequency,leave_one_out,17,0.0066915672552866345
4103,B,sample_frequency,data_size,11,0.23015294974508377
4103,B,sample_frequency,data_size,14,0.23525127458120904
4103,B,sample_frequency,data_size,16,0.26656955571740715
4103,B,sample_frequency,data_size,17,0.26802621995630005
4103,B,equal_class,shapley,11,0.013485639169595897
4103,B,equal_class,shapley,14,0.0017043606068110708
4103,B,equal_class,shapley,16,0.0033622874299474755
4103,B,equal_class,shapley,17,0.010996428775837997
4103,B,equal_class,leave_one_out,11,0.0031329974665523785
4103,B,equal_class,leave_one_out,14,-0.0004930639923359514
4103,B,equal_class,leave_one_out,16,-0.0029126839690343242
4103,B,equal_class,leave_one_out,17,0.003775568306652044
4103,B,equal_class,data_size,11,0.23015294974508377
4103,B,equal_class,data_size,14,0.23525127458120904
4103,B,equal_class,data_size,16,0.26656955571740715
4103,B,equal_class,data_size,17,0.26802621995630005
4103,B,equal_subject,shapley,11,0.014500334537657181
4103,B,equal_subject,shapley,14,-0.0034680783396549932
4103,B,equal_subject,shapley,16,0.0006024007035781611
4103,B,equal_subject,shapley,17,0.015997786089841187
4103,B,equal_subject,leave_one_out,11,0.003876993751915747
4103,B,equal_subject,leave_one_out,14,-0.0031739589643032806
4103,B,equal_subject,leave_one_out,16,-0.004174555707539773
4103,B,equal_subject,leave_one_out,17,0.006803878483268577
4103,B,equal_subject,data_size,11,0.23015294974508377
4103,B,equal_subject,data_size,14,0.23525127458120904
4103,B,equal_subject,data_size,16,0.26656955571740715
4103,B,equal_subject,data_size,17,0.26802621995630005
4103,C,sample_frequency,shapley,19,0.005307561096259877
4103,C,sample_frequency,shapley,22,0.009295523562612882
4103,C,sample_frequency,shapley,23,0.008548560110687914
4103,C,sample_frequency,shapley,25,0.009129622146657346
4103,C,sample_frequency,leave_one_out,19,-0.0005639639452247325
4103,C,sample_frequency,leave_one_out,22,0.002006192125031503
4103,C,sample_frequency,leave_one_out,23,0.0014101589595645336
4103,C,sample_frequency,leave_one_out,25,0.0011456453969688196
4103,C,sample_frequency,data_size,19,0.24623803009575923
4103,C,sample_frequency,data_size,22,0.21956224350205197
4103,C,sample_frequency,data_size,23,0.25444596443228457
4103,C,sample_frequency,data_size,25,0.27975376196990426
4103,C,equal_class,shapley,19,0.006606031737393863
4103,C,equal_class,shapley,22,0.006828771054377162
4103,C,equal_class,shapley,23,0.01216606199592559
4103,C,equal_class,shapley,25,0.007647613257028916
4103,C,equal_class,leave_one_out,19,-0.00027618115828320633
4103,C,equal_class,leave_one_out,22,0.0009957810736370698
4103,C,equal_class,leave_one_out,23,0.0033992417035109135
4103,C,equal_class,leave_one_out,25,0.00015056261376500402
4103,C,equal_class,data_size,19,0.24623803009575923
4103,C,equal_class,data_size,22,0.21956224350205197
4103,C,equal_class,data_size,23,0.25444596443228457
4103,C,equal_class,data_size,25,0.27975376196990426
4103,C,equal_subject,shapley,19,0.0048673462409717285
4103,C,equal_subject,shapley,22,0.009191384781107212
4103,C,equal_subject,shapley,23,0.008529556020926709
4103,C,equal_subject,shapley,25,0.00944739712164643
4103,C,equal_subject,leave_one_out,19,-0.0008138799983175016
4103,C,equal_subject,leave_one_out,22,0.0020022161334006805
4103,C,equal_subject,leave_one_out,23,0.0014411309689345009
4103,C,equal_subject,leave_one_out,25,0.0013760841437600035
4103,C,equal_subject,data_size,19,0.24623803009575923
4103,C,equal_subject,data_size,22,0.21956224350205197
4103,C,equal_subject,data_size,23,0.25444596443228457
4103,C,equal_subject,data_size,25,0.27975376196990426
4103,D,sample_frequency,shapley,27,0.009691492791611247
4103,D,sample_frequency,shapley,28,0.0009220768988493411
