seed,cohort,evaluator,method,client,share,uniform_fallback
4102,D,equal_subject,shapley,27,0.2247652965568635,False
4102,D,equal_subject,shapley,28,0.17494709396683963,False
4102,D,equal_subject,shapley,29,0.4186143324881167,False
4102,D,equal_subject,shapley,30,0.18167327698818025,False
4102,D,equal_subject,leave_one_out,27,0.0,False
4102,D,equal_subject,leave_one_out,28,0.0,False
4102,D,equal_subject,leave_one_out,29,1.0,False
4102,D,equal_subject,leave_one_out,30,0.0,False
4102,D,equal_subject,data_size,27,0.2531986531986532,False
4102,D,equal_subject,data_size,28,0.2572390572390572,False
4102,D,equal_subject,data_size,29,0.23164983164983166,False
4102,D,equal_subject,data_size,30,0.2579124579124579,False
4103,A,sample_frequency,shapley,3,0.3056132208939218,False
4103,A,sample_frequency,shapley,5,0.22376350807943152,False
4103,A,sample_frequency,shapley,6,0.2663971088975791,False
4103,A,sample_frequency,shapley,8,0.20422616212906758,False
4103,A,sample_frequency,leave_one_out,3,0.8621253661220788,False
4103,A,sample_frequency,leave_one_out,5,0.0,False
4103,A,sample_frequency,leave_one_out,6,0.13787463387792123,False
4103,A,sample_frequency,leave_one_out,8,0.0,False
4103,A,sample_frequency,data_size,3,0.27301841473178545,False
4103,A,sample_frequency,data_size,5,0.24179343474779824,False
4103,A,sample_frequency,data_size,6,0.2602081665332266,False
4103,A,sample_frequency,data_size,8,0.22497998398718974,False
4103,A,equal_class,shapley,3,0.43385832893978044,False
4103,A,equal_class,shapley,5,0.21277869571155775,False
4103,A,equal_class,shapley,6,0.2776888514084082,False
4103,A,equal_class,shapley,8,0.07567412394025343,False
4103,A,equal_class,leave_one_out,3,0.9100313215120094,False
4103,A,equal_class,leave_one_out,5,0.0,False
4103,A,equal_class,leave_one_out,6,0.08996867848799067,False
4103,A,equal_class,leave_one_out,8,0.0,False
4103,A,equal_class,data_size,3,0.27301841473178545,False
4103,A,equal_class,data_size,5,0.24179343474779824,False
4103,A,equal_class,data_size,6,0.2602081665332266,False
4103,A,equal_class,data_size,8,0.22497998398718974,False
4103,A,equal_subject,shapley,3,0.302560568923403,False
4103,A,equal_subject,shapley,5,0.22659228995686387,False
4103,A,equal_subject,shapley,6,0.26455734596212915,False
4103,A,equal_subject,shapley,8,0.206289795157604,False
4103,A,equal_subject,leave_one_out,3,0.8695169506872549,False
4103,A,equal_subject,leave_one_out,5,0.0,False
4103,A,equal_subject,leave_one_out,6,0.12950635084574658,False
4103,A,equal_subject,leave_one_out,8,0.0009766984669985488,False
4103,A,equal_subject,data_size,3,0.27301841473178545,False
4103,A,equal_subject,data_size,5,0.24179343474779824,False
4103,A,equal_subject,data_size,6,0.2602081665332266,False
4103,A,equal_subject,data_size,8,0.22497998398718974,False
4103,B,sample_frequency,shapley,11,0.462072831848569,False
4103,B,sample_frequency,shapley,14,0.0,False
4103,B,sample_frequency,shapley,16,0.02156472979502486,False
4103,B,sample_frequency,shapley,17,0.516362438356406,False
4103,B,sample_frequency,leave_one_out,11,0.3572903049435306,False
4103,B,sample_frequency,leave_one_out,14,0.0,False
4103,B,sample_frequency,leave_one_out,16,0.0,False
4103,B,sample_frequency,leave_one_out,17,0.6427096950564695,False
4103,B,sample_frequency,data_size,11,0.23015294974508377,False
4103,B,sample_frequency,data_size,14,0.23525127458120904,False
4103,B,sample_frequency,data_size,16,0.26656955571740715,False
4103,B,sample_frequency,data_size,17,0.26802621995630005,False
4103,B,equal_class,shapley,11,0.4563866388550701,False
